study_hours_per_week,attendance_percentage,previous_exam_score,pass
8.8,80.5,48.4,0
3.5,75.9,76.0,0
5.5,90.3,55.0,1
19.8,63.5,46.9,1
5.7,79.1,88.5,0
19.3,83.5,57.2,1
22.6,73.1,59.2,1
13.6,73.1,76.0,1
3.6,84.8,53.0,0
15.6,85.0,66.2,1
9.5,75.0,68.7,1
22.7,76.4,79.2,0
5.6,68.2,52.4,1
5.9,84.9,85.3,1
12.1,74.7,71.9,1
12.3,53.0,98.1,1
4.7,71.8,69.7,1
9.4,85.7,56.1,0
16.7,80.7,56.0,1
11.8,63.1,45.2,0
1.5,87.4,65.5,0
10.4,85.4,64.4,1
10.4,85.4,81.7,1
11.2,99.1,67.1,1
0.6,71.2,50.3,0
6.8,85.2,84.0,1
23.8,72.3,57.7,1
22.1,90.9,70.3,1
23.5,93.5,91.8,1
19.0,83.4,88.4,1
10.8,87.2,52.2,0
23.4,63.8,63.3,1
7.5,85.3,89.6,1
14.8,58.1,83.1,1
14.7,100.0,75.1,1
11.0,93.1,81.3,1
6.3,52.9,26.2,0
8.3,35.9,59.9,0
16.1,95.2,39.1,1
7.1,62.8,53.6,0
8.7,83.7,58.1,1
8.9,56.1,73.5,1
8.1,76.5,86.2,1
20.7,65.8,79.1,1
13.6,84.4,69.7,1
0.5,70.4,58.3,0
18.5,97.6,87.8,1
12.6,64.0,69.4,0
19.5,94.5,32.5,1
12.4,75.0,63.3,0
7.8,83.1,73.5,1
21.0,51.4,46.9,1
4.3,49.0,68.3,1
7.0,91.0,91.7,0
12.1,56.8,59.6,1
21.5,70.1,63.2,1
2.9,70.4,63.4,1
8.5,61.7,46.4,1
13.3,78.2,55.4,1
17.0,54.0,45.7,1
2.6,57.3,58.6,0
18.9,89.0,49.3,1
13.9,63.1,81.2,1
12.9,86.2,61.7,1
9.5,85.0,79.1,1
7.9,97.8,40.8,1
22.3,81.9,63.3,1
24.8,47.6,74.1,1
4.4,65.3,76.3,0
5.3,68.9,52.4,0
16.7,93.5,61.8,1
19.1,80.2,65.6,0
20.6,67.7,57.4,0
7.6,81.6,56.1,1
5.2,69.7,73.1,0
1.8,83.2,42.1,0
9.4,77.3,30.7,1
14.1,91.6,54.8,1
21.8,80.0,68.9,1
0.8,89.9,22.2,0
2.2,74.8,88.3,1
16.3,85.7,65.5,1
16.8,72.7,74.3,1
3.1,84.7,48.5,1
2.4,78.4,63.0,1
0.7,73.1,96.9,0
16.2,68.7,97.7,0
7.0,70.9,75.2,0
6.0,82.1,58.8,1
16.6,40.6,61.9,0
3.0,93.6,87.9,1
13.4,39.5,51.0,0
2.3,72.2,46.9,0
1.6,70.1,61.4,1
16.7,86.1,80.3,1
19.8,78.5,44.3,1
11.6,74.4,70.2,1
10.1,76.3,70.5,0
17.5,89.2,66.1,1
1.9,100.0,60.9,0
7.0,80.7,80.5,1
22.6,44.1,74.1,1
23.7,68.7,37.0,1
1.0,81.3,92.7,0
0.1,100.0,71.8,1
19.2,63.5,69.1,1
11.3,69.4,56.8,1
19.1,83.4,57.9,1
16.1,79.8,17.4,0
11.2,55.1,58.9,1
17.7,89.2,73.9,1
15.1,55.3,74.2,0
0.4,71.0,50.7,0
11.7,94.9,20.0,1
22.1,55.2,42.4,1
19.5,69.8,57.2,1
16.4,100.0,86.2,1
15.5,71.1,33.4,1
20.4,59.3,63.2,1
7.3,66.3,73.6,1
9.9,87.5,74.2,1
15.8,51.5,61.2,1
20.5,65.5,12.3,0
8.0,53.1,73.9,0
4.2,57.6,65.3,0
6.8,94.3,72.8,1
11.0,73.7,45.8,0
2.5,68.4,54.3,0
15.7,81.4,90.5,1
22.4,64.3,61.5,1
8.6,56.9,63.1,1
23.9,92.2,50.2,1
10.5,88.2,86.2,1
13.4,62.3,33.4,1
24.4,85.6,53.8,1
17.8,96.9,71.3,1
12.6,82.4,62.7,1
18.9,82.5,79.6,1
11.8,56.3,71.3,0
18.0,73.0,89.9,1
5.6,46.9,59.6,0
1.9,91.7,61.3,0
15.0,72.4,68.9,1
13.1,94.9,31.4,1
11.5,63.3,89.7,0
2.9,88.1,47.4,0
23.4,51.1,84.7,1
2.8,68.9,90.3,1
24.2,83.2,82.6,1
8.0,80.3,67.8,1
7.0,74.1,52.7,0
23.5,50.1,25.4,0
24.0,94.9,74.6,1
17.5,84.9,60.0,1
23.9,92.2,95.6,1
4.4,92.0,59.0,0
21.4,69.3,75.8,1
15.5,80.9,57.0,1
7.4,100.0,72.3,1
14.9,62.3,58.1,1
2.7,81.1,61.3,1
19.8,66.5,30.1,1
16.0,100.0,51.4,1
2.7,77.6,61.7,0
5.5,59.2,87.7,1
7.3,65.8,69.4,1
11.8,53.7,42.1,0
5.8,40.4,93.4,1
7.4,33.9,70.9,0
13.8,63.9,84.8,0
3.7,57.8,47.9,0
18.8,77.2,4.5,0
11.3,62.4,50.4,1
10.2,78.4,45.7,0
14.3,100.0,69.3,1
3.9,57.1,36.3,0
22.3,56.6,48.2,0
2.9,89.9,39.5,0
13.7,100.0,67.0,1
24.1,61.7,47.6,1
3.5,49.3,89.7,1
17.5,70.5,79.0,1
24.4,68.8,80.0,1
24.9,85.7,60.7,1
8.7,58.8,69.0,0
15.6,70.9,80.5,1
23.6,70.2,49.3,1
15.6,51.0,87.5,1
21.8,51.1,63.4,1
17.4,81.7,87.9,0
0.9,83.2,100.0,0
8.6,62.8,93.5,0
22.3,98.7,45.1,1
11.7,89.1,87.1,1
10.8,82.0,59.1,1
7.6,84.2,57.1,1
4.0,80.3,60.6,0
16.7,85.9,43.3,1
9.9,88.1,69.3,1
22.1,76.0,51.8,1
1.1,43.7,85.3,0
21.9,72.5,70.8,1
2.3,62.2,17.5,0
20.6,56.8,47.2,1
11.5,84.0,46.3,0
18.5,47.7,52.2,1
11.3,87.6,52.7,1
4.0,65.1,68.5,1
23.7,56.1,61.8,1
16.1,61.6,44.8,1
5.4,100.0,72.7,1
14.9,97.4,81.4,1
5.2,70.5,64.9,0
10.0,91.2,86.3,1
14.9,100.0,72.6,1
15.3,61.5,54.6,1
2.7,70.5,57.6,0
4.8,88.9,64.8,0
11.5,81.0,74.5,1
12.9,69.2,67.9,1
21.4,99.7,82.6,1
14.4,82.6,85.8,1
20.3,87.0,46.4,1
9.2,100.0,43.7,1
4.7,82.4,62.9,1
7.0,100.0,73.1,0
0.6,79.6,81.3,1
9.1,72.4,76.6,1
15.9,76.9,76.0,1
21.0,88.3,47.9,1
5.9,84.9,71.6,1
17.6,80.6,53.1,1
18.8,52.1,72.4,1
17.3,58.2,81.2,1
24.1,70.8,52.6,1
14.5,86.0,60.4,1
11.1,97.0,100.0,1
13.4,38.1,51.1,0
0.1,72.6,55.7,0
0.2,67.8,45.0,0
12.3,73.1,38.7,1
9.4,78.0,82.9,1
3.4,61.7,52.5,0
8.9,54.5,53.5,0
16.0,90.3,50.3,1
13.1,86.3,13.7,0
9.9,68.4,78.4,1
19.3,72.9,54.7,1
1.3,64.1,63.8,0
22.2,53.1,89.7,1
17.0,84.7,62.1,1
10.5,64.5,67.1,0
17.3,57.6,68.0,0
23.5,65.5,88.0,1
16.4,99.9,40.3,1
16.7,81.5,54.5,1
17.6,78.3,25.2,1
22.9,76.1,65.3,1
22.2,88.0,76.5,1
7.0,86.0,57.2,1
0.6,54.7,100.0,0
6.9,71.0,82.8,0
9.1,64.7,100.0,1
6.2,78.0,68.1,1
11.4,73.7,98.1,1
23.4,44.0,55.9,1
4.7,92.3,72.9,1
9.5,78.6,67.7,1
20.8,48.0,57.8,1
3.3,92.1,95.7,1
8.8,76.5,89.7,1
